tree.number,REPLCT,TRT,day,diameter
3.1,3,1,32,30.94
3.1,3,1,42,30.96
3.1,3,1,45,30.96
3.1,3,1,50,30.97
3.1,3,1,53,30.98
3.1,3,1,57,31.02
3.1,3,1,60,31.02
3.1,3,1,63,31.04
3.1,3,1,69,31.05
3.1,3,1,73,31.05
3.1,3,1,79,31.04
3.3,3,3,0,30.33
3.3,3,3,14,30.35
3.3,3,3,28,30.41
3.3,3,3,32,30.47
3.3,3,3,42,30.47
3.3,3,3,45,30.47
3.3,3,3,50,30.47
3.3,3,3,53,30.47
3.3,3,3,57,30.5
3.3,3,3,60,30.51
3.3,3,3,63,30.52
3.3,3,3,69,30.52
3.3,3,3,73,30.51
3.3,3,3,79,30.5
3.4,3,4,0,30.69
3.4,3,4,14,30.71
3.4,3,4,28,30.85
3.4,3,4,32,30.93
3.4,3,4,42,30.94
3.4,3,4,45,30.94
3.4,3,4,50,30.95
3.4,3,4,53,30.95
3.4,3,4,57,30.99
3.4,3,4,60,31.01
3.4,3,4,63,31.02
3.4,3,4,69,31.02
3.4,3,4,73,31.01
3.4,3,4,79,31.01
3.5,3,5,0,32.74
3.5,3,5,14,32.83
3.5,3,5,28,32.91
3.5,3,5,32,33.01
3.5,3,5,42,33.02
3.5,3,5,45,33.01
3.5,3,5,50,33.02
3.5,3,5,53,33.01
3.5,3,5,57,33.07
3.5,3,5,60,33.08
3.5,3,5,63,33.1
3.5,3,5,69,33.09
3.5,3,5,73,33.08
3.5,3,5,79,33.07
3.6,3,6,0,26.74
3.6,3,6,14,26.8
3.6,3,6,28,26.84
3.6,3,6,32,26.9
3.6,3,6,42,26.91
3.6,3,6,45,26.91
3.6,3,6,50,26.91
3.6,3,6,53,26.9
3.6,3,6,57,26.93
3.6,3,6,60,26.94
3.6,3,6,63,26.95
3.6,3,6,69,26.94
3.6,3,6,73,29.93
3.6,3,6,79,26.94
3.7,3,7,0,32.34
3.7,3,7,14,32.4
3.7,3,7,28,32.46
3.7,3,7,32,32.51
3.7,3,7,42,32.52
3.7,3,7,45,32.51
3.7,3,7,50,32.52
3.7,3,7,53,32.52
3.7,3,7,57,32.53
3.7,3,7,60,32.54
3.7,3,7,63,32.55
3.7,3,7,69,33.54
3.7,3,7,73,32.54
3.7,3,7,79,32.54
4.1,4,1,0,24.86
4.1,4,1,14,24.87
4.1,4,1,28,24.9
4.1,4,1,32,24.94
4.1,4,1,42,24.95
4.1,4,1,45,24.96
4.1,4,1,50,24.95
4.1,4,1,53,24.95
4.1,4,1,57,24.96
4.1,4,1,60,24.96
4.1,4,1,63,25
4.1,4,1,69,25
4.1,4,1,73,25
4.1,4,1,79,25
4.2,4,2,0,32.15
4.2,4,2,14,32.2
4.2,4,2,28,32.24
4.2,4,2,32,32.33
4.2,4,2,42,32.34
4.2,4,2,45,32.34
4.2,4,2,50,32.35
4.2,4,2,53,32.34
4.2,4,2,57,32.4
4.2,4,2,60,32.4
4.2,4,2,63,32.41
4.2,4,2,69,32.41
4.2,4,2,73,32.41
4.2,4,2,79,32.41
4.3,4,3,0,31.05
4.3,4,3,14,31.06
4.3,4,3,28,31.13
4.3,4,3,32,31.22
4.3,4,3,42,31.23
4.3,4,3,45,31.23
4.3,4,3,50,31.23
4.3,4,3,53,31.23
4.3,4,3,57,31.3
4.3,4,3,60,31.3
4.3,4,3,63,31.32
4.3,4,3,69,31.32
4.3,4,3,73,31.32
4.3,4,3,79,31.32
4.4,4,4,0,30.16
4.4,4,4,14,30.22
4.4,4,4,28,30.24
4.4,4,4,32,30.3
4.4,4,4,42,30.31
4.4,4,4,45,30.31
4.4,4,4,50,30.3
4.4,4,4,53,30.3
4.4,4,4,57,30.32
4.4,4,4,60,30.34
4.4,4,4,63,30.34
4.4,4,4,69,30.34
4.4,4,4,73,30.33
4.4,4,4,79,30.32
4.5,4,5,0,27.66
4.5,4,5,14,27.67
4.5,4,5,28,27.7
4.5,4,5,32,27.74
4.5,4,5,42,27.75
4.5,4,5,45,27.76
4.5,4,5,50,27.76
4.5,4,5,53,27.75
4.5,4,5,57,27.77
4.5,4,5,60,27.8
4.5,4,5,63,27.8
4.5,4,5,69,27.8
4.5,4,5,73,27.8
4.5,4,5,79,27.78
4.6,4,6,0,28.18
4.6,4,6,14,28.23
4.6,4,6,28,28.27
4.6,4,6,32,28.35
4.6,4,6,42,28.35
4.6,4,6,45,28.35
4.6,4,6,50,28.35
4.6,4,6,53,28.35
4.6,4,6,57,28.37
4.6,4,6,60,28.38
4.6,4,6,63,28.39
4.6,4,6,69,28.4
4.6,4,6,73,28.39
4.6,4,6,79,28.89
4.7,4,7,0,28.7
4.7,4,7,14,28.7
4.7,4,7,28,28.77
4.7,4,7,32,28.85
4.7,4,7,42,28.86
4.7,4,7,45,28.85
4.7,4,7,50,28.85
4.7,4,7,53,28.85
4.7,4,7,57,28.9
4.7,4,7,60,28.92
4.7,4,7,63,28.93
4.7,4,7,69,28.93
4.7,4,7,73,28.92
4.7,4,7,79,28.92
5.1,5,1,0,29.72
5.1,5,1,14,29.75
5.1,5,1,28,29.81
5.1,5,1,32,29.87
5.1,5,1,42,29.88
5.1,5,1,45,29.9
5.1,5,1,50,29.9
5.1,5,1,53,29.87
5.1,5,1,57,29.91
5.1,5,1,60,29.91
5.1,5,1,63,29.93
5.1,5,1,69,29.93
5.1,5,1,73,29.93
5.1,5,1,79,29.91
